Panjang,Lebar,Daun
16.5,5.5,Daun Singkong
16.1,5.5,Daun Singkong
17.2,4.8,Daun Singkong
11.1,5.2,Daun Rambutan
13.7,6.7,Daun Rambutan
12.4,6.4,Daun Rambutan
13.8,4.5,Daun Kelengkeng
11.2,3.6,Daun Kelengkeng
13.5,4.2,Daun Kelengkeng
13.2,3.9,Daun Kelengkeng
5.5,2,Daun Makasar
9,3,Daun Makasar
10,4,Daun Makasar
9,3,Daun Makasar
16,8,Daun Nangka
20,8,Daun Nangka
20,10,Daun Nangka
20,5,Daun Melinjo
20,6,Daun Melinjo
15,6,Daun Melinjo
25,10,Daun Mangga
20,8,Daun Mangga
25,8,Daun Mangga
15,5,Daun Mangga
15,6,Daun Mangga
20,6,Daun Mangga
10,3,Daun Mangga
27.9,8.5,Daun Jambu
22.7,8.1,Daun Jambu
25.9,8.6,Daun Jambu
20,5,Daun Jambu
20,4,Daun Jambu
20,4,Daun Jambu
