Panjang,Lebar,Daun
12.7,3.1,Daun Singkong
13.3,3,Daun Singkong
16,5,Daun Singkong
19,5,Daun Singkong
13.2,6,Daun Rambutan
13.3,5.9,Daun Rambutan
11.8,4.8,Daun Rambutan
11.3,4.8,Daun Rambutan
10.5,3.7,Daun Kelengkeng
11.6,4.1,Daun Kelengkeng
9.9,3.4,Daun Kelengkeng
10,4,Daun Makasar
11,4,Daun Makasar
8,3,Daun Makasar
20,8,Daun Nangka
8,3,Daun Nangka
10,3,Daun Nangka
20,5,Daun Melinjo
20,5,Daun Melinjo
20,6,Daun Melinjo
14.8,5.7,Daun Mangga
13.2,5.1,Daun Mangga
11.7,4.8,Daun Mangga
20,6,Daun Mangga
25,8,Daun Mangga
20,8,Daun Mangga
20,4,Daun Jambu
15,4,Daun Jambu
20,4,Daun Jambu
20,5,Daun Jambu
20,3,Daun Jambu
20,4,Daun Jambu
15,3,Daun Jambu
